Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
2684.65,2813.96,2673.79,2787.76,5000.31617,10812,2022-02-01,ETH,,,2936.1428614788992,3087.2597049710553
2787.76,2810.27,2613.65,2681.81,4421.57067,9874,2022-02-02,ETH,,,2926.1690237738444,3083.225379548458
2681.81,2726.08,2576.64,2691.49,3732.70426,7422,2022-02-03,ETH,,,2916.9659248023213,3079.3275150753393
2695.85,2999.27,2672.14,2992.19,6039.49286,11410,2022-02-04,ETH,,,2919.9158885355637,3078.460475124341
2997.02,3059.85,2959.52,3016.52,2390.15955,6425,2022-02-05,ETH,,,2923.704285063581,3077.844151988775
3020.23,3074.61,2952.03,3057.55,1561.30219,4489,2022-02-06,ETH,,,2928.9531366297156,3077.6422201281903
3056.99,3187.47,2993.04,3138.5,3842.60419,9055,2022-02-07,ETH,,,2937.1706606834523,3078.247770176666
3147.67,3231.26,3025.64,3114.91,4168.38598,9243,2022-02-08,ETH,,,2944.1408308527284,3078.612568483366
3116.77,3270.13,3055.02,3236.88,2571.05591,6796,2022-02-09,ETH,,,2955.6207982702686,3080.1873687969646
3242.28,3281.84,3058.27,3073.08,6998.10218,15152,2022-02-10,ETH,,,2960.227041475356,3080.1166487094324
3072.58,3138.59,2879.52,2926.85,4712.71712,11315,2022-02-11,ETH,,,2958.9181378880876,3078.5916074287416
2926.85,2985.37,2858.34,2916.65,2314.06294,5511,2022-02-12,ETH,,,2957.260563853261,3076.9802481508436
2914.07,2953.31,2837.42,2871.16,1752.66795,4005,2022-02-13,ETH,,,2953.884071153133,3074.932285482676
2872.87,2964.25,2830.84,2934.85,2324.45372,5747,2022-02-14,ETH,,,2953.137636990265,3073.538431895784
2934.85,3196.25,2913.21,3185.0,2646.87906,6848,2022-02-15,ETH,,,2962.2302786769214,3074.6475022251793
3186.07,3186.88,3044.07,3120.69,1632.74667,6397,2022-02-16,ETH,,,2968.4443853954735,3075.1056365313966
3123.31,3159.83,2852.69,2895.29,4253.48882,9294,2022-02-17,ETH,,,2965.5755859682,3073.3164262176515
2890.8,2943.74,2752.63,2785.18,3495.71121,5964,2022-02-18,ETH,,,2958.5012492635647,3070.449397101058
2780.87,2830.34,2695.55,2760.6,1602.67816,3317,2022-02-19,ETH,,,2950.7404159591115,3067.3663185229384
2760.86,2761.43,2576.45,2618.75,3512.09195,5936,2022-02-20,ETH,,,2937.721183960715,3062.902474557536
2622.16,2758.7,2558.74,2567.91,6526.0881,11869,2022-02-21,ETH,,,2923.2187845897065,3057.977176303232
2574.93,2665.99,2500.0,2634.38,4045.60609,7960,2022-02-22,ETH,,,2911.891773429326,3053.7622790265837
2638.39,2752.11,2575.95,2575.95,2028.64342,6060,2022-02-23,ETH,,,2898.717586236019,3049.0079279914935
2578.77,2739.31,2300.87,2598.81,7156.80993,17387,2022-02-24,ETH,,,2886.956504422842,3044.5283466184437
2598.93,2834.91,2572.15,2768.6,3516.17717,10119,2022-02-25,ETH,,,2882.3150728768483,3041.782790930698
2768.71,2875.36,2728.57,2778.13,1946.95874,6556,2022-02-26,ETH,,,2878.229383744423,3039.159380075666
2779.63,2835.87,2558.62,2615.12,4404.62477,10644,2022-02-27,ETH,2872.2790000000005,,2867.911368695622,3034.9400827614804
2617.69,2951.55,2570.27,2922.53,3964.06848,10215,2022-02-28,ETH,2867.7424000000005,,2870.0532758055974,3033.8215744752965
2920.86,3037.49,2855.23,2975.65,2799.80891,9552,2022-03-01,ETH,2865.5884,,2874.1943238132208,3033.2427528387266
2973.25,3042.84,2914.76,2948.35,2819.33088,10117,2022-03-02,ETH,2859.782,,2877.1023895460357,3032.398048830381
2945.97,2970.55,2786.13,2835.8,2169.62806,5660,2022-03-03,ETH,2849.1086,,2875.4826879952107,3030.4418493395315
2835.63,2837.77,2574.81,2620.98,1366.02068,6162,2022-03-04,ETH,2836.7458,,2865.5021904267714,3026.367602082422
2619.23,2684.64,2589.92,2666.57,901.28757,2208,2022-03-05,ETH,2823.9481999999994,,2857.700928057094,3022.787526439811
2664.61,2676.4,2535.58,2548.1,744.62083,3344,2022-03-06,ETH,2808.3759999999997,,2845.55971519211,3018.064267470261
2546.44,2648.39,2447.36,2494.84,2015.73868,6239,2022-03-07,ETH,2791.3583999999996,,2831.806000870851,3012.8580558536414
2495.63,2624.15,2480.79,2576.92,1731.25449,7158,2022-03-08,ETH,2778.6672000000003,,2821.8104714249357,3008.5203637555956
2576.14,2778.55,2568.14,2731.34,1720.26455,6043,2022-03-09,ETH,2770.0638,,2818.2626098004284,3005.7623501858884
2731.48,2731.48,2552.94,2606.47,1879.56401,5930,2022-03-10,ETH,2760.5386,,2809.9570172592353,3001.7892919750834
2605.92,2676.57,2523.04,2556.3,1140.01107,5053,2022-03-11,ETH,2751.5316,,2800.009683249069,2997.3565627016997
2556.27,2614.37,2553.42,2571.31,550.82446,1828,2022-03-12,ETH,2751.5366,,2791.041068219694,2993.117293421086
2567.77,2600.59,2493.42,2518.11,751.95375,2876,2022-03-13,ETH,2753.6274,,2780.337889073824,2988.3908526905275
2512.82,2608.64,2499.18,2589.94,1039.68235,4431,2022-03-14,ETH,2754.6092,,2772.871305188576,2984.4261675891294
2590.85,2668.82,2508.2,2619.74,1398.96634,5471,2022-03-15,ETH,2758.1408,,2766.8661559654947,2980.7974495036656
2620.02,2787.99,2604.06,2776.33,1750.5901,10249,2022-03-16,ETH,2764.5066,,2767.237287104103,2978.7629475185545
2776.81,2835.87,2747.27,2813.78,1162.08033,4415,2022-03-17,ETH,2771.5640000000003,,2769.0624915313933,2977.1213261502107
2809.75,2984.11,2767.57,2939.83,1624.48893,7460,2022-03-18,ETH,2781.8577999999998,,2775.759256569378,2976.7502681785672
2940.69,2985.23,2893.62,2952.27,934.39329,4465,2022-03-19,ETH,2789.9824,,2782.681246507834,2976.506683420572
2953.44,2964.18,2818.39,2857.84,824.768,4797,2022-03-20,ETH,2795.11,,2785.628648605566,2975.3259204014616
2861.43,2959.82,2829.58,2894.63,1121.47036,5226,2022-03-21,ETH,2800.9813999999997,,2789.903211405348,2974.5229759198555
2889.34,3052.37,2886.37,2970.83,1503.00739,7150,2022-03-22,ETH,2806.6614,,2796.9983795855305,2974.4862298908024
2967.9,3044.63,2920.41,3035.11,1038.63749,6097,2022-03-23,ETH,2811.6083999999996,,2806.3360901900196,2975.089451483929
3036.76,3128.52,3003.0,3109.98,1493.6331,7681,2022-03-24,ETH,2820.1718,,2818.2436944962933,2976.431645996527
3109.98,3193.1,3076.28,3107.37,1117.44163,6548,2022-03-25,ETH,2828.4894,,2829.581980986635,2977.734515190592
3101.64,3152.74,3084.97,3147.4,323.08763,1816,2022-03-26,ETH,2831.5935999999997,,2842.0454327126495,2979.42272896979
3146.52,3298.49,3126.17,3297.42,1025.63102,5926,2022-03-27,ETH,2837.2116000000005,,2859.9032588807813,2982.5868809203394
3293.99,3430.54,3275.51,3331.51,1624.44997,8532,2022-03-28,ETH,2842.6908000000003,,2878.3976408854564,2986.058752751978
3331.34,3481.32,3330.29,3401.08,1130.57064,7221,2022-03-29,ETH,2847.9424,,2898.894988301713,2990.1883174012123
3395.89,3447.17,3332.3,3384.9,645.95821,4863,2022-03-30,ETH,2853.3421999999996,,2917.9540083683123,2994.115796830056
3386.1,3444.86,3261.92,3287.59,1325.62565,6154,2022-03-31,ETH,2854.3563999999997,,2932.449537451908,2997.03593815513
3279.53,3481.25,3210.73,3454.28,1626.71453,8115,2022-04-01,ETH,2861.9804,,2952.9134771596764,3001.585630312791
3449.86,3530.9,2946.89,3442.04,1802.87014,12339,2022-04-02,ETH,2872.2842,,2972.0949094279244,3005.968260856943
3446.33,3580.02,3412.0,3519.91,812.39128,5326,2022-04-03,ETH,2884.3494,,2993.5778541562413,3011.08210900762
3520.64,3546.69,3408.82,3519.19,1546.6175,6061,2022-04-04,ETH,2897.31,,3014.190095169722,3016.1379089179923
3520.95,3554.0,3398.14,3409.53,1046.92117,5029,2022-04-05,ETH,2906.8035999999997,,3029.6936208493407,3020.052258082988
3405.69,3405.69,3161.82,3167.51,2480.69558,9749,2022-04-06,ETH,2906.4538000000002,,3035.098184737602,3021.519499296093
3165.15,3267.83,3144.02,3229.95,1026.1097,5112,2022-04-07,ETH,2908.6389999999997,,3042.7394323949507,3023.5934346264803
3226.69,3313.18,3174.34,3194.56,1524.62801,5662,2022-04-08,ETH,2914.6244,,3048.6931801441688,3025.2945944809435
3196.82,3268.96,3181.94,3258.0,687.26398,2783,2022-04-09,ETH,2924.0807999999997,,3056.9012907267506,3027.610071152775
3261.4,3307.18,3192.79,3200.33,725.93996,2794,2022-04-10,ETH,2932.8754000000004,,3062.525945992368,3029.3286774099615
3200.5,3214.3,2949.91,2978.2,2639.20952,8711,2022-04-11,ETH,2940.0644,,3059.2190461495306,3028.819934351156
2981.91,3085.37,2951.0,3028.8,2067.25913,7465,2022-04-12,ETH,2949.2822,,3058.026142378961,3028.8197359994033
