Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
398.9095,406.5503,393.173,399.9192,1493.7,813,2022-02-19,BNB,,,415.26006911349447,430.3918129604646
399.8928,400.1252,375.2361,380.4435,3896.53,1581,2022-02-20,BNB,,,413.8947134619849,429.8948148215545
380.829,393.4065,355.1209,356.6139,5199.61,2433,2022-02-21,BNB,,,411.648407051711,429.16565148999683
356.896,375.3462,348.8952,374.3319,5446.89,1907,2022-02-22,BNB,,,410.1850146183106,428.6200420224347
373.8558,383.9466,365.3846,365.3846,2766.6,1145,2022-02-23,BNB,,,408.42813561367103,427.99083364410205
365.8499,370.4147,323.7083,360.8482,8139.28,3843,2022-02-24,BNB,,,406.562255785684,427.3227477371956
361.6605,377.0261,357.0737,374.7395,2809.0,1378,2022-02-25,BNB,,,405.3143045784023,426.7995313418007
374.8002,386.0787,370.9411,373.4366,3182.2,1469,2022-02-26,BNB,,,404.0641985165042,426.2685569005887
373.4997,381.175,358.2776,359.9159,3328.6,1527,2022-02-27,BNB,408.898928,,402.33289269232756,425.6083314587918
359.6401,397.1848,356.1286,395.3041,4566.9,1971,2022-02-28,BNB,408.0316439999999,,402.0572537632167,425.30679681741077
395.9374,423.7651,391.1648,408.5298,8512.1,3549,2022-03-01,BNB,407.70908799999995,,402.3110791058357,425.13986152569527
408.2756,415.6753,403.8966,408.9148,7113.2,2168,2022-03-02,BNB,406.61631,,402.5700485526657,424.9784181274297
409.0451,413.0509,396.1469,402.8535,4812.7,1180,2022-03-03,BNB,404.922956,,402.58116429569844,424.75826968835077
402.5203,402.5203,372.0638,374.0344,3337.0,1377,2022-03-04,BNB,402.90081999999995,,401.46168334292594,424.25355456707365
374.3146,387.3525,367.2237,384.81,2862.1,857,2022-03-05,BNB,400.79377800000003,,400.80867615300724,423.8610813873018
385.0292,387.2121,372.4646,374.721,2052.5,855,2022-03-06,BNB,398.396612,,399.78563002935994,423.3721253535973
375.0492,385.2797,362.7611,381.3731,5265.0,1778,2022-03-07,BNB,396.06055999999995,,399.0635700282086,422.95422460381025
381.3731,388.4604,376.9018,381.8028,3071.6,1114,2022-03-08,BNB,394.18815,,398.3866770859259,422.54475769232954
381.4682,402.3413,381.4682,393.4928,4739.1,1724,2022-03-09,BNB,392.62867,,398.19476033745826,422.25568348643577
393.3749,394.4169,363.4442,372.2159,5022.2,1755,2022-03-10,BNB,390.83663,,397.1759815006952,421.7577751930384
372.3062,379.5967,364.8375,372.6356,2998.1,1132,2022-03-11,BNB,389.48641799999996,,396.2136135987071,421.26899733042114
371.9,379.4063,371.7298,372.36,904.1,605,2022-03-12,BNB,389.24854400000004,,395.2781777713069,420.78234064056625
372.2801,377.3618,360.4,362.0321,1597.2,627,2022-03-13,BNB,389.318318,,393.9744100155694,420.1977611317049
361.0019,374.0384,359.5209,374.0384,1032.7,732,2022-03-14,BNB,389.118782,,393.1926057012334,419.73846400601633
373.1958,374.9392,361.8694,371.7738,1213.3,748,2022-03-15,BNB,389.12848600000007,,392.3526525364792,419.26120366764803
371.517,386.8467,368.0424,385.5204,2800.0,1288,2022-03-16,BNB,389.13866799999994,,392.0847210644604,418.9254742779202
385.5633,393.3793,381.8127,391.8688,2441.5,1481,2022-03-17,BNB,389.45917799999995,,392.07625357173646,418.6562536383389
392.0464,400.0,384.0286,397.8413,2891.3,1751,2022-03-18,BNB,389.616684,,392.3023338238252,418.4491396717883
397.5046,406.1673,394.966,399.9723,1970.4,1611,2022-03-19,BNB,389.90307800000005,,392.6031168111262,418.26529052082526
399.927,400.648,386.31,390.4503,1536.5,1212,2022-03-20,BNB,389.92888600000003,,392.51869262245464,417.9885244459912
390.8164,399.4007,385.6005,395.8697,1697.0,1258,2022-03-21,BNB,390.28948,,392.6501046764761,417.76843664055843
396.039,410.0,395.1082,403.8939,2980.0,1919,2022-03-22,BNB,390.865642,,393.09103782641824,417.63038154960765
404.3024,411.5433,398.1079,408.6854,1337.1,1473,2022-03-23,BNB,391.35783200000003,,393.7025814410685,417.54137675806925
408.4604,416.5286,405.2949,414.4801,2596.4,2054,2022-03-24,BNB,392.29142199999995,,394.5173860904384,417.51091629281484
