Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
43865.89,44157.76,40071.06,40564.25,359.031834,8349,2022-02-17,BTC,,,41215.53947634262,41513.02000208585
40481.43,40994.37,39454.86,40010.25,282.172629,6426,2022-02-18,BTC,,,41168.27322236841,41498.06706674171
39983.62,40446.06,39650.23,40119.04,54.906016,2350,2022-02-19,BTC,,,41127.12682149122,41484.34540438607
40099.81,40103.58,37988.68,38339.8,181.970588,4571,2022-02-20,BTC,,,41017.8198873151,41453.056395387204
38427.93,39477.48,36811.44,37027.25,499.920163,11906,2022-02-21,BTC,,,40861.326950557646,41409.01852080624
37035.04,38414.17,36353.07,38211.48,313.154546,8084,2022-02-22,BTC,,,40757.41138386911,41377.202217116625
38239.0,39237.59,37062.43,37202.52,184.575756,6065,2022-02-23,BTC,,,40618.00387861934,41335.66309057816
37225.4,39788.79,34316.84,38297.1,788.816769,24437,2022-02-24,BTC,,,40526.98804024211,41305.42863196544
38330.65,39678.96,38013.13,39221.12,255.70831,10254,2022-02-25,BTC,,,40475.77752886007,41284.689242592656
39201.13,40283.92,38586.13,39111.11,142.971765,6625,2022-02-26,BTC,,,40422.26115517928,41263.06158843751
39129.2,39850.71,36999.09,37691.03,282.099937,9856,2022-02-27,BTC,40283.6438,,40315.154051054604,41227.51898556748
37690.35,44209.56,37442.99,43170.95,585.939547,19494,2022-02-28,BTC,40309.5718,,40427.14604905246,41246.856607601636
43193.64,44950.0,42844.8,44396.56,242.320383,12788,2022-03-01,BTC,40361.1722,,40582.80934124648,41278.196939864305
44400.0,45300.0,43343.96,43925.39,289.671327,12131,2022-03-02,BTC,40384.7664,,40713.8909357074,41304.5371693184
43848.26,44085.03,41823.29,42466.67,141.903472,6932,2022-03-03,BTC,40356.0044,,40782.62736960123,41316.10068007145
42476.78,42504.22,38565.08,39123.41,158.787156,8311,2022-03-04,BTC,40287.5944,,40717.56002177373,41294.2828623593
39128.91,39597.29,38586.13,39405.13,76.470685,2594,2022-03-05,BTC,40214.186200000004,,40666.09217778261,41275.485321440305
39381.39,39678.96,38075.6,38403.71,124.69034,4349,2022-03-06,BTC,40120.742999999995,,40577.371308065645,41246.91044262001
38398.05,39541.2,37153.29,38000.0,162.718685,7409,2022-03-07,BTC,40019.338599999995,,40476.29792343562,41214.60287602677
37979.03,39359.38,37880.62,38760.68,170.05626,8355,2022-03-08,BTC,39950.4496,,40409.01878918324,41190.185732981736
38709.43,42662.68,38656.31,41946.36,278.60096,11602,2022-03-09,BTC,39942.1452,,40469.3066798035,41197.70985504162
41965.73,42057.09,38550.97,39405.57,308.395251,12464,2022-03-10,BTC,39897.0464,,40427.59151588964,41179.87761767802
39433.86,40222.22,38229.88,38737.06,186.321679,7973,2022-03-11,BTC,39857.975999999995,,40361.29616232534,41155.57097471605
38730.94,39456.79,38664.07,38831.47,72.765824,2601,2022-03-12,BTC,39905.109,,40301.30297948905,41132.44559188306
38794.64,39312.15,37591.9,37801.76,91.257149,3539,2022-03-13,BTC,39959.6998,,40203.28168617575,41099.304441715074
37775.87,39907.26,37565.35,39678.82,105.331676,5709,2022-03-14,BTC,40027.9928,,40182.71456122769,41085.17026816567
39689.38,39878.76,38130.01,39323.72,116.456684,5201,2022-03-15,BTC,40081.695,,40149.02850000307,41067.64339982571
39300.53,41693.93,38851.4,41130.24,326.952225,17209,2022-03-16,BTC,40165.4098,,40187.50738235589,41068.26625156874
41106.25,41457.33,40510.27,40928.58,88.30345,4757,2022-03-17,BTC,40247.8594,,40216.569053636056,41066.87633861781
40921.53,42325.56,40161.91,41740.59,104.403429,6426,2022-03-18,BTC,40338.8848,,40276.33458094445,41073.57995713903
41814.57,42384.8,41518.77,42191.28,69.351241,4446,2022-03-19,BTC,40427.8054,,40351.430479730945,41084.701350600335
42216.84,42278.03,40911.7,41210.22,80.230749,4796,2022-03-20,BTC,40488.9098,,40385.108500133654,41085.95029238541
41259.74,41537.18,40490.29,41026.23,91.883464,6294,2022-03-21,BTC,40551.0824,,40410.250519736255,41085.35606062038
41000.78,43327.15,40888.53,42336.46,160.27039,11090,2022-03-22,BTC,40628.2594,,40485.788146413266,41097.804856037095
42372.03,43025.16,41752.56,42899.87,123.224956,7256,2022-03-23,BTC,40712.3688,,40580.45802302451,41115.735852494436
